idea_text,label,source
Poo de Cologne - Business Idea: Toilet Spray with Essential Oils,0,SharkTank
Moonshine Meads - Business Idea: Meads,0,SharkTank
Falhari - Business Idea: Fresh Fruits,0,SharkTank
Namhya Foods - Business Idea: Ayurvedic Enriched Food,1,SharkTank
Urban Monkey - Business Idea: Streetwear,0,SharkTank
Guardian Gears - Business Idea: Motorcycle Luggage,0,SharkTank
Modern Myth - Business Idea: Bags,0,SharkTank
The Sass Bar - Business Idea: Gifts,1,SharkTank
KG Agrotech - Business Idea: Agricultural Innovations,1,SharkTank
Nuskha Kitchen - Business Idea: Homemade Foods,0,SharkTank
PawsIndia - Business Idea: Dog Products,1,SharkTank
Sunfox Technologies - Business Idea: Portable ECG Device,1,SharkTank
Alpino - Business Idea: Roasted Peanut Products,0,SharkTank
Isak Fragrances - Business Idea: Perfumes,1,SharkTank
Julaa Automation - Business Idea: Automatic Cradle,0,SharkTank
Rare Planet - Business Idea: Handicrafts,1,SharkTank
Theka Coffee - Business Idea: Coffee Products,0,SharkTank
Watt Technovations - Business Idea: Ventilated PPE Kits,1,SharkTank
Aliste Technologies - Business Idea: Automation Solutions,0,SharkTank
Insurance Samadhan - Business Idea: Insurance Solutions,1,SharkTank
Humpy A2 - Business Idea: Organic Milk Products,1,SharkTank
Kunafa World - Business Idea: Kunafa,0,SharkTank
Gold Safe Solutions Ind. - Business Idea: Anti-Suicidal Fan Rod,1,SharkTank
Wakao Foods - Business Idea: Jackfruit Products,1,SharkTank
PDD Falcon - Business Idea: Stainless Steel Items,0,SharkTank
PlayBox TV - Business Idea: Streaming Platform,0,SharkTank
Sippline Drinking Shields - Business Idea: Portable Glass Attachment,0,SharkTank
Kabaddi Adda - Business Idea: All-Kabaddi App,1,SharkTank
Shades of Spring - Business Idea: Flowers,0,SharkTank
Scholify - Business Idea: Scholarship Platform,0,SharkTank
Scrapshala - Business Idea: Handmade Reusable Scrap Materials,0,SharkTank
Sabjikothi - Business Idea: Vegetables Storage,0,SharkTank
AyuRythm - Business Idea: Ayurvedic Wellness App,1,SharkTank
Astrix - Business Idea: Smart Locks,0,SharkTank
Thea and Sid - Business Idea: Proposal Solutions,0,SharkTank
Experential Etc - Business Idea: Technology layered Advertisement Services,0,SharkTank
GrowFitter - Business Idea: Rewards App,1,SharkTank
Med Tech - Business Idea: Portable opthalmic devices,0,SharkTank
Colour Me Mad - Business Idea: Insoles,1,SharkTank
Mavi's - Business Idea: Vegan Fermented Food,0,SharkTank
Tweek Labs - Business Idea: Sportswear,1,SharkTank
Proxgy - Business Idea: VR,1,SharkTank
Nomad Food Project - Business Idea: Bacon Jams,1,SharkTank
Twee in One - Business Idea: Reversible and convertible clothing,0,SharkTank
Green Protein - Business Idea: Plant-Based Protein,0,SharkTank
On2Cook - Business Idea: Fastest Cooking Device,0,SharkTank
Jain Shikanji - Business Idea: Lemonade,1,SharkTank
Woloo - Business Idea: Washroom Finder,0,SharkTank
Elcare India - Business Idea: Carenting for Elders,0,SharkTank
SneaKare - Business Idea: Shoe cleaning kits and storage crates,1,SharkTank
French Crown - Business Idea: Clothing Brand,0,SharkTank
Store My Goods - Business Idea: Storage Solutions,1,SharkTank
Devnagri - Business Idea: Translation services of Indian languages,0,SharkTank
